SIGNAL_SCORE_THRESHOLD,SPRING_DROP_PCT,SPRING_BOUNCE_PCT,VOLUME_MULTIPLIER,STOP_LOSS_PCT,total_trades,win_rate,profit_factor,max_drawdown,final_capital,total_return_pct,max_loss_streak
55,0.002,0.0015,1.3,0.003,566,0.2845,1.1374,0.3831,20433.34,104.33,27
55,0.002,0.0015,1.3,0.005,566,0.2721,1.0729,0.4128,14630.59,46.31,32
55,0.002,0.0015,1.3,0.007,566,0.3021,1.1497,0.3705,19697.99,96.98,39
55,0.002,0.0015,1.5,0.003,566,0.2845,1.1374,0.3831,20433.34,104.33,27
55,0.002,0.0015,1.5,0.005,566,0.2721,1.0729,0.4128,14630.59,46.31,32
55,0.002,0.0015,1.5,0.007,566,0.3021,1.1497,0.3705,19697.99,96.98,39
55,0.002,0.0015,1.8,0.003,566,0.2845,1.1374,0.3831,20433.34,104.33,27
55,0.002,0.0015,1.8,0.005,566,0.2721,1.0729,0.4128,14630.59,46.31,32
55,0.002,0.0015,1.8,0.007,566,0.3021,1.1497,0.3705,19697.99,96.98,39
55,0.002,0.0015,2.0,0.003,566,0.2845,1.1374,0.3831,20433.34,104.33,27
55,0.002,0.0015,2.0,0.005,566,0.2721,1.0729,0.4128,14630.59,46.31,32
55,0.002,0.0015,2.0,0.007,566,0.3021,1.1497,0.3705,19697.99,96.98,39
55,0.002,0.002,1.3,0.003,512,0.2715,1.0942,0.3175,14709.38,47.09,26
55,0.002,0.002,1.3,0.005,512,0.2773,1.1108,0.3312,16188.73,61.89,30
55,0.002,0.002,1.3,0.007,512,0.2949,1.1278,0.3642,16734.37,67.34,38
55,0.002,0.002,1.5,0.003,512,0.2715,1.0942,0.3175,14709.38,47.09,26
55,0.002,0.002,1.5,0.005,512,0.2773,1.1108,0.3312,16188.73,61.89,30
55,0.002,0.002,1.5,0.007,512,0.2949,1.1278,0.3642,16734.37,67.34,38
55,0.002,0.002,1.8,0.003,512,0.2715,1.0942,0.3175,14709.38,47.09,26
55,0.002,0.002,1.8,0.005,512,0.2773,1.1108,0.3312,16188.73,61.89,30
55,0.002,0.002,1.8,0.007,512,0.2949,1.1278,0.3642,16734.37,67.34,38
55,0.002,0.002,2.0,0.003,512,0.2715,1.0942,0.3175,14709.38,47.09,26
55,0.002,0.002,2.0,0.005,512,0.2773,1.1108,0.3312,16188.73,61.89,30
55,0.002,0.002,2.0,0.007,512,0.2949,1.1278,0.3642,16734.37,67.34,38
55,0.002,0.0025,1.3,0.003,480,0.2771,1.1198,0.3436,15997.64,59.98,26
55,0.002,0.0025,1.3,0.005,480,0.2812,1.131,0.3308,16922.81,69.23,30
55,0.002,0.0025,1.3,0.007,480,0.3042,1.1668,0.3223,18909.45,89.09,33
55,0.002,0.0025,1.5,0.003,480,0.2771,1.1198,0.3436,15997.64,59.98,26
55,0.002,0.0025,1.5,0.005,480,0.2812,1.131,0.3308,16922.81,69.23,30
55,0.002,0.0025,1.5,0.007,480,0.3042,1.1668,0.3223,18909.45,89.09,33
55,0.002,0.0025,1.8,0.003,480,0.2771,1.1198,0.3436,15997.64,59.98,26
